|----------------------------------------|----------|
|English Word                            |Count     |
|----------------------------------------|----------|
|a                                       |42375     |
|----------------------------------------|----------|
|baalbek                                 |1         |
|----------------------------------------|----------|
|babcock                                 |1         |
|----------------------------------------|----------|
|babylonian                              |10        |
|----------------------------------------|----------|
|babynino                                |4         |
|----------------------------------------|----------|
|babysitter                              |1         |
|----------------------------------------|----------|
|baccalaureate                           |1         |
|----------------------------------------|----------|
|bacchus                                 |1         |
|----------------------------------------|----------|
|bach                                    |9         |
|----------------------------------------|----------|
|bacille                                 |1         |
|----------------------------------------|----------|
|backbenchers                            |2         |
|----------------------------------------|----------|
|backbone                                |2         |
|----------------------------------------|----------|
|backdown                                |1         |
|----------------------------------------|----------|
|backdrops                               |2         |
|----------------------------------------|----------|
|backed                                  |8         |
|----------------------------------------|----------|
|backers                                 |1         |
|----------------------------------------|----------|
|backfire                                |2         |
|----------------------------------------|----------|
|backfiring                              |1         |
|----------------------------------------|----------|
|background                              |166       |
|----------------------------------------|----------|
|backing                                 |4         |
|----------------------------------------|----------|
|backlash                                |1         |
|----------------------------------------|----------|
|backs                                   |4         |
|----------------------------------------|----------|
|backup                                  |2         |
|----------------------------------------|----------|
|backwards                               |9         |
|----------------------------------------|----------|
|backwater                               |2         |
|----------------------------------------|----------|
|bacon                                   |1         |
|----------------------------------------|----------|
|bacteria                                |14        |
|----------------------------------------|----------|
|bacterium                               |3         |
|----------------------------------------|----------|
|bad                                     |29        |
|----------------------------------------|----------|
|bafta                                   |7         |
|----------------------------------------|----------|
|baggini                                 |2         |
|----------------------------------------|----------|
|baghdad                                 |5         |
|----------------------------------------|----------|
|bags                                    |2         |
|----------------------------------------|----------|
|bah                                     |4         |
|----------------------------------------|----------|
|baile                                   |2         |
|----------------------------------------|----------|
|baird                                   |1         |
|----------------------------------------|----------|
|bairoch                                 |4         |
|----------------------------------------|----------|
|bait                                    |1         |
|----------------------------------------|----------|
|bakan                                   |1         |
|----------------------------------------|----------|
|bakenlaagte                             |1         |
|----------------------------------------|----------|
|baker                                   |4         |
|----------------------------------------|----------|
|bakker                                  |1         |
|----------------------------------------|----------|
|bakongo                                 |1         |
|----------------------------------------|----------|
|baku                                    |11        |
|----------------------------------------|----------|
|baladiyahs                              |1         |
|----------------------------------------|----------|
|balaena                                 |1         |
|----------------------------------------|----------|
|balaenidae                              |1         |
|----------------------------------------|----------|
|balaenoptera                            |2         |
|----------------------------------------|----------|
|balaenopteridae                         |1         |
|----------------------------------------|----------|
|balakhanli                              |1         |
|----------------------------------------|----------|
|balance                                 |15        |
|----------------------------------------|----------|
